,Track,Explicit,Tpopularity,Artist,Album,Rdate
71,God Is a Number,false,22,Sleater-Kinney,The Hot Rock (Remastered),1999
72,Banned from the End of the World,false,23,Sleater-Kinney,The Hot Rock (Remastered),1999
73,Don't Talk Like,false,22,Sleater-Kinney,The Hot Rock (Remastered),1999
74,Get Up,false,33,Sleater-Kinney,The Hot Rock (Remastered),1999
75,One Song for You,false,21,Sleater-Kinney,The Hot Rock (Remastered),1999
76,The Size of Our Love,false,23,Sleater-Kinney,The Hot Rock (Remastered),1999
77,Living in Exile,false,20,Sleater-Kinney,The Hot Rock (Remastered),1999
78,Memorize Your Lines,false,20,Sleater-Kinney,The Hot Rock (Remastered),1999
79,A Quarter to Three,false,24,Sleater-Kinney,The Hot Rock (Remastered),1999
80,Dig Me Out,false,46,Sleater-Kinney,Dig Me Out (Remastered),1997
81,One More Hour,false,43,Sleater-Kinney,Dig Me Out (Remastered),1997
82,Turn It On,false,33,Sleater-Kinney,Dig Me Out (Remastered),1997
83,The Drama You've Been Craving,false,29,Sleater-Kinney,Dig Me Out (Remastered),1997
84,Heart Factory,false,28,Sleater-Kinney,Dig Me Out (Remastered),1997
85,Words and Guitar,false,32,Sleater-Kinney,Dig Me Out (Remastered),1997
86,It's Enough,false,27,Sleater-Kinney,Dig Me Out (Remastered),1997
87,Little Babies,false,31,Sleater-Kinney,Dig Me Out (Remastered),1997
88,Not What You Want,false,27,Sleater-Kinney,Dig Me Out (Remastered),1997
89,Buy Her Candy,false,27,Sleater-Kinney,Dig Me Out (Remastered),1997
90,Things You Say,false,25,Sleater-Kinney,Dig Me Out (Remastered),1997
91,Dance Song '97,false,30,Sleater-Kinney,Dig Me Out (Remastered),1997
92,Jenny,false,25,Sleater-Kinney,Dig Me Out (Remastered),1997
93,Call the Doctor,false,30,Sleater-Kinney,Call the Doctor (Remastered),1996
94,Hubcap,false,22,Sleater-Kinney,Call the Doctor (Remastered),1996
95,Little Mouth,false,24,Sleater-Kinney,Call the Doctor (Remastered),1996
96,Anonymous,false,24,Sleater-Kinney,Call the Doctor (Remastered),1996
97,Stay Where You Are,false,24,Sleater-Kinney,Call the Doctor (Remastered),1996
98,Good Things,false,37,Sleater-Kinney,Call the Doctor (Remastered),1996
99,I Wanna Be Your Joey Ramone,false,37,Sleater-Kinney,Call the Doctor (Remastered),1996
100,Taking Me Home,false,21,Sleater-Kinney,Call the Doctor (Remastered),1996
101,Taste Test,false,20,Sleater-Kinney,Call the Doctor (Remastered),1996
102,My Stuff,false,20,Sleater-Kinney,Call the Doctor (Remastered),1996
103,I'm Not Waiting,false,20,Sleater-Kinney,Call the Doctor (Remastered),1996
104,Heart Attack,false,20,Sleater-Kinney,Call the Doctor (Remastered),1996
105,Don't Think You Wanna,false,24,Sleater-Kinney,Sleater-Kinney (Remastered),1995
106,The Day I Went Away,false,25,Sleater-Kinney,Sleater-Kinney (Remastered),1995
107,A Real Man,false,26,Sleater-Kinney,Sleater-Kinney (Remastered),1995
108,Her Again,false,21,Sleater-Kinney,Sleater-Kinney (Remastered),1995
109,How to Play Dead,false,20,Sleater-Kinney,Sleater-Kinney (Remastered),1995
110,Be Yr Mama,false,28,Sleater-Kinney,Sleater-Kinney (Remastered),1995
111,Sold Out,false,19,Sleater-Kinney,Sleater-Kinney (Remastered),1995
112,Slow Song,false,23,Sleater-Kinney,Sleater-Kinney (Remastered),1995
113,Lora's Song,false,19,Sleater-Kinney,Sleater-Kinney (Remastered),1995
114,The Last Song,false,23,Sleater-Kinney,Sleater-Kinney (Remastered),1995
115,Turn It On,false,33,Sleater-Kinney,Dig Me Out (Remastered),1997
116,Dance with U,false,42,RuPaul,Born Naked,2014-02-24
117,Fly Tonight (feat. Frankmusik),false,36,RuPaul,Born Naked,2014-02-24
118,Born Naked (feat. Clairy Browne) [Stadium Remix],false,41,RuPaul,Realness,2015-03-02
119,Can I Get An Amen (YLXR Remix),false,31,RuPaul,"Essential, Vol. 2",2017-06-09
120,Lick It Lollipop (feat. Lady Bunny),false,37,RuPaul,"Essential, Vol. 2",2017-06-09
121,The Beginning,false,51,RuPaul,Glamazon,2011-05-03
122,Peanut Butter (feat. Big Freedia),false,50,RuPaul,Peanut Butter (feat. Big Freedia),2012-06-05
123,The Realness (feat. Eric Kupper),false,58,RuPaul,Realness,2015-03-02
124,Let's Turn The Night (Matt Pop Bootleg Edit),false,32,RuPaul,"Essential, Vol. 2",2017-06-09
125,Supermodel (You Better Work),false,55,RuPaul,Supermodel of the World,1993-06-08
126,Rock It (To the Moon) [feat. KUMMERSPECK],false,49,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
